Unnamed: 0,County,Neighborhood,Room,Saloon,m2,Price,latitude,longitude
780,Mamak,Hüseyingazi Mahallesi,3.0,1,110,20500,39.9328255,32.9125214
781,Mamak,General Zeki Doğan Mahallesi,4.0,1,190,46999,39.9167721,32.9061676
782,Keçiören,Etlik Mahallesi,3.0,1,125,18000,39.9799604,32.8284002
783,Keçiören,Yükseltepe Mahallesi,3.0,1,135,26000,40.0006432,32.8077829
784,Keçiören,Atapark Mahallesi,3.0,1,140,25000,40.007897,32.844849
785,Keçiören,Yükseltepe Mahallesi,2.0,1,110,23000,40.0006432,32.8077829
786,Çankaya,Ayrancı Mahallesi,2.0,1,80,25000,39.9028644,32.8498192
787,Gölbaşı,Şafak Mahallesi,3.0,1,130,28000,39.7957989,32.8093716
788,Etimesgut,Yeşilova Mahallesi,3.0,1,120,45000,39.9647722,32.6045166
789,Keçiören,Etlik Mahallesi,3.0,1,130,25000,39.9799604,32.8284002
790,Yenimahalle,Çiğdemtepe Mahallesi,3.0,1,140,29500,39.9929077,32.7934763
791,Yenimahalle,Susuz Mahallesi,1.0,1,75,21000,40.0204091,32.6551222
792,Etimesgut,Yeşilova Mahallesi,2.0,1,89,30000,39.9647722,32.6045166
793,Keçiören,Yeşiltepe Mahallesi,3.0,1,115,15500,39.9956537,32.8932891
794,Çubuk,Yıldırım Beyazıt Mahallesi,3.0,1,135,16000,40.2336564,33.0457239
795,Yenimahalle,Susuz Mahallesi,4.0,1,200,39500,40.0204091,32.6551222
796,Çankaya,Ertuğrulgazi Mahallesi,3.0,0,105,19000,39.9266737,32.8808702
797,Çankaya,Mürsel Uluç Mahallesi,3.0,1,130,29000,39.8638847,32.8330298
798,Gölbaşı,Bahçelievler Mahallesi,2.0,1,100,32500,39.789888,32.8072715
799,Çankaya,Büyükesat Mahallesi,2.0,1,101,56500,39.8923503,32.8769596
800,Çankaya,Yukarı Dikmen Mahallesi,2.0,1,107,55000,39.8553094,32.845662
801,Çankaya,Remzi Oğuz Arık Mahallesi,1.0,1,50,45000,39.9072111,32.8598419
802,Mamak,Çağlayan Mahallesi,2.0,1,105,25000,39.9286716,32.9107271
803,Çankaya,Kavaklıdere Mahallesi,3.0,1,100,30000,39.9133494,32.8578531
804,Çankaya,Bahçelievler Mahallesi,3.0,1,120,45000,39.9278078,32.8264893
805,Yenimahalle,Susuz Mahallesi,4.5,1,185,49000,40.0204091,32.6551222
806,Sincan,Atatürk Mahallesi,3.0,1,115,17000,39.9641128,32.5816913
807,Keçiören,Şefkat Mahallesi,2.0,1,125,16500,39.977612,32.8741329
808,Keçiören,19 Mayıs Mahallesi,2.0,1,100,17500,39.9873869,32.8532851
809,Çankaya,Huzur Mahallesi,3.0,1,145,28000,39.8749037,32.8205341
810,Yenimahalle,Mehmet Akif Ersoy Mahallesi,2.0,1,80,31500,39.9662907,32.7715145
811,Etimesgut,Altay Mahallesi,2.0,1,90,28500,39.972489,32.6447493
812,Etimesgut,Aşağıyurtçu Mahallesi,3.0,1,118,19000,39.8146837,32.5367159
813,Çankaya,Yücetepe Mahallesi,2.0,1,95,39500,39.9207809,32.8408492
814,Çankaya,Ön Cebeci Mahallesi,1.0,1,55,31000,39.9253929,32.8657742
815,Keçiören,Şehit Kubilay Mahallesi,3.0,1,139,28000,39.9929026,32.8082444
816,Çankaya,Yukarı Dikmen Mahallesi,3.0,1,160,60000,39.8553094,32.845662
817,Çankaya,Kırkkonaklar Mahallesi,2.0,1,110,45000,39.8916442,32.8860421
818,Çankaya,Çukurambar Mahallesi,4.0,1,215,65000,39.9031304,32.8028578
819,Çankaya,İncesu Mahallesi,1.0,1,62,35750,39.9202132,32.8670045
820,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,120,25000,39.9715857,32.8378467
821,Keçiören,İncirli Mahallesi,3.0,1,120,25000,39.9845847,32.846361
822,Etimesgut,Şehit Osman Avcı Mahallesi,1.0,0,38,18500,39.9792655,32.6539061
823,Pursaklar,Mimar Sinan Mahallesi,4.0,1,200,40000,40.032216,32.8860111
824,Etimesgut,Topçu Mahallesi,3.0,1,120,30500,39.9544543,32.6162905
825,Etimesgut,Topçu Mahallesi,3.0,1,130,18500,39.9544543,32.6162905
826,Çankaya,Huzur Mahallesi,3.0,1,125,24000,39.8749037,32.8205341
827,Yenimahalle,Gayret Mahallesi,2.0,1,90,20000,39.9591081,32.8110175
828,Gölbaşı,Eymir Mahallesi,2.0,1,95,25500,39.7977398,32.838659
829,Çankaya,Konutkent Mahallesi,1.0,1,50,28000,39.877841,32.6679958
830,Gölbaşı,Taşpınar Mahallesi,1.0,1,40,17500,39.8306678,32.7588042
831,Yenimahalle,Çarşı Mahallesi,2.0,1,90,25000,39.9668507,32.8085746
832,Keçiören,Yayla Mahallesi,3.0,1,128,25000,39.9920925,32.8292426
833,Keçiören,Etlik Mahallesi,3.0,1,120,20000,39.9799604,32.8284002
834,Gölbaşı,İncek Mahallesi,1.0,1,48,17250,39.8075431,32.6973502
835,Etimesgut,Topçu Mahallesi,3.0,1,135,24000,39.9544543,32.6162905
836,Yenimahalle,Yunus Emre Mahallesi,3.0,1,120,40000,39.9683128,32.8124025
837,Çankaya,Fakülteler Mahallesi,2.0,1,110,20000,39.930093,32.8735174
838,Çankaya,Büyükesat Mahallesi,1.0,1,75,47500,39.8923503,32.8769596
839,Sincan,Pınarbaşı Mahallesi,2.0,1,90,17000,39.9494709,32.5704168
840,Sincan,29 Ekim Mahallesi,3.0,1,114,20000,40.0130019,32.5308344
841,Pursaklar,Mimar Sinan Mahallesi,3.0,1,120,22500,40.032216,32.8860111
842,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,120,25000,39.9715857,32.8378467
843,Yenimahalle,Yeniçağ Mahallesi,3.0,1,105,23000,39.9648766,32.8137024
844,Keçiören,Kamil Ocak Mahallesi,3.0,1,125,25000,39.9842949,32.8807172
845,Keçiören,Şehit Kubilay Mahallesi,6.0,1,276,50000,39.9929026,32.8082444
846,Altındağ,Aydınlıkevler Mahallesi,2.0,1,98,22000,39.9627386,32.8748794
847,Çankaya,Ayrancı Mahallesi,2.0,1,110,35000,39.9028644,32.8498192
848,Çankaya,İlkbahar Mahallesi,4.5,1,198,80000,39.8621563,32.8585944
849,Keçiören,Güçlükaya Mahallesi,3.0,1,110,25000,39.9832687,32.8695984
850,Çankaya,Yaşamkent Mahallesi,1.0,0,32,16500,39.858413,32.6438736
851,Çankaya,Büyükesat Mahallesi,1.0,1,80,44000,39.8923503,32.8769596
852,Çankaya,Yaşamkent Mahallesi,1.0,1,72,24500,39.858413,32.6438736
853,Sincan,Yunus Emre Mahallesi,3.0,1,100,33750,39.9779999,32.599985
854,Gölbaşı,Kızılcaşar Mahallesi,2.0,1,100,60000,39.8227276,32.732967
855,Keçiören,Ufuktepe Mahallesi,2.0,1,95,16000,40.0122692,32.8527711
856,Gölbaşı,Kızılcaşar Mahallesi,4.0,1,150,42000,39.8227276,32.732967
857,Etimesgut,Yukarıyurtçu Mahallesi,2.0,1,85,25000,39.823077,32.5497806
858,Sincan,Selçuklu Mahallesi,3.0,1,120,17000,39.9538197,32.5988363
859,Çankaya,Remzi Oğuz Arık Mahallesi,1.0,1,50,47000,39.9072111,32.8598419
860,Keçiören,Ayvalı Mahallesi,3.0,1,100,19000,39.9833642,32.8182536
861,Mamak,Bayındır Mahallesi,3.0,1,115,3650000,39.8945787,33.0214367
862,Sincan,Selçuklu Mahallesi,3.0,1,120,20000,39.9538197,32.5988363
863,Yenimahalle,Ragıp Tüzün Mahallesi,3.0,1,100,25000,39.9650023,32.8087623
864,Sincan,Akşemsettin Mahallesi,3.0,1,120,22000,39.96683,32.5895634
865,Etimesgut,Oğuzlar Mahallesi,3.0,1,110,28000,39.9460524,32.6058963
866,Çankaya,Kırkkonaklar Mahallesi,4.0,1,199,45000,39.8916442,32.8860421
867,Gölbaşı,İncek Mahallesi,1.0,1,60,23500,39.8075431,32.6973502
868,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,115,20000,39.9715857,32.8378467
869,Gölbaşı,Bahçelievler Mahallesi,1.0,1,40,23000,39.789888,32.8072715
870,Yenimahalle,Mehmet Akif Ersoy Mahallesi,3.0,1,120,35100,39.9662907,32.7715145
871,Yenimahalle,Mehmet Akif Ersoy Mahallesi,2.0,1,80,33500,39.9662907,32.7715145
